,Rk,Team,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC
0,5.8998973535824915,Houston,4.61512051684126,3.2188758248682006,4.848116364598481,4.504244267398131,1,0.6839550621910302,3.9908341858524357,3.8264651170664994,2.760009940032921,3.1354942159291497,3.6454498961866,3.3945083935113587,3.342861804649192,3.616308761279101,3.9180050771056933,3.7887247890836524,3.7184382563554808,3.4781584227982836,3.563882963939251,3.8133070324889884,4.128745988939433,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5.8971538676367405,Duke,4.61512051684126,3.2188758248682006,4.86830338551846,4.534747721691546,1,0.6829453180753486,4.070734696582967,3.8110970868381857,2.7343675094195836,2.917770732084279,3.580737295494233,3.288401887516811,3.481240089335692,3.3032169733019514,4.072439726834051,3.7819143200811256,3.6712245188752153,3.462606009790799,3.8372994592322094,3.6635616461296463,4.200204952921578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.8944028342648505,Auburn,4.61512051684126,3.258096538021482,4.874433672915854,4.55597994179732,1,0.681074599325676,4.032469158504013,3.8308129500026027,2.653241964607215,2.9069010598473755,3.6027767550605247,3.417726683613366,3.5085558999826545,3.6428355156125294,4.044804116661965,3.8437441646748516,3.616308761279101,3.414442608412176,3.730501128804756,3.56953269648137,4.241326752570746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5.8916442118257715,Florida,4.61512051684126,3.2188758248682006,4.843399374720342,4.560172820057356,1,0.6749832099322741,4.014579593753238,3.8133070324889884,2.7788192719904172,2.928523523860541,3.66612246699132,3.391147045808654,3.4688560301359703,3.4436180975461075,4.039536325727106,3.832979798087693,3.586292865338835,3.380994674344636,3.7864597824528,3.6506582412937387,4.249922794040544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,5.8888779583328805,Tennessee,4.605170185988092,3.1354942159291497,4.773223770984341,4.511957804265912,1,0.669878553620591,3.9852734671677386,3.7954891891721947,2.8507065015037334,2.995732273553991,3.6189933266497696,3.40452517175483,3.5115454388310208,3.349904087274605,3.9982007016691985,3.832979798087693,3.5751506887855933,3.3568971227655755,3.7887247890836524,3.8501476017100584,4.177459468932607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,5.886104031450156,Alabama,4.605170185988092,3.1354942159291497,4.860587297852597,4.603168183317418,0,0.6690593850308554,4.050044303325521,3.8753590210565547,2.91235066461494,2.667228206581955,3.616308761279101,3.414442608412176,3.754198920234579,3.5322256440685598,4.123903364463645,3.893859034800475,3.5610460826040513,3.4468078929142076,3.8649313978942956,3.5751506887855933,4.3254562831854875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,5.883322388488279,Texas Tech,4.605170185988092,3.091042453358316,4.83150862819882,4.583946549536464,0,0.6661356313130954,4.036008985209137,3.8815637979434374,2.8213788864092133,2.9601050959108397,3.58351893845611,3.3775875160230218,3.4307561839036995,3.535145354171894,4.02535169073515,3.8691155044168695,3.653252276470785,3.5085558999826545,3.7796338173824005,3.591817741270805,4.203198967134183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5.8805329864007,Arizona,4.605170185988092,2.9444389791664403,4.810557015713042,4.566429357671661,1,0.665004874613665,3.9852734671677386,3.885679030088544,2.884800712846709,2.917770732084279,3.629660094453965,3.353406717825807,3.594568774642695,3.370738174177447,4.037774210733707,3.883623530906448,3.484312288372662,3.493472657771326,3.5779478934066544,3.7727609380946383,4.26689632742025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5.877735781779639,Missouri,4.59511985013459,3.044522437723423,4.852030263919617,4.612145799724517,0,0.663460870189585,4.046553898385752,3.92395157629342,2.797281334830153,3.0819099697950434,3.535145354171894,3.475067230228611,3.901972669574645,3.5322256440685598,4.055257173514054,3.9080149840306073,3.634951112088381,3.5553480614894135,3.768152635008444,3.6609942506244004,4.237000862623624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,5.87493073085203,Iowa St.,4.59511985013459,3.091042453358316,4.789157022101107,4.553876891600541,1,0.6622755168928582,4.01096295328305,3.903990833730882,2.856470206220483,3.131136910560194,3.5380565643793527,3.353406717825807,3.708682081410116,3.3178157727231046,4.028916756899646,3.8732821771117156,3.58351893845611,3.5524868292083815,3.6000482404073204,3.6913763343125234,4.2456340097683265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
