,Seed,Team,Golden Ratio,VEGsemble
0,1.0,Connecticut,35.4,35.4
1,16.0,Stetson,25.0,25.0
2,8.0,Florida Atlantic,30.0,30.0
3,9.0,Northwestern,19.0,19.0
4,5.0,San Diego St.,19.6,19.6
5,12.0,UAB,13.6,13.6
6,4.0,Auburn,11.0,11.0
7,13.0,Yale,10.6,10.6
8,6.0,BYU,7.0,7.0
9,11.0,Duquesne,14.4,14.4
10,3.0,Illinois,8.6,8.6
11,14.0,Morehead State,12.0,12.0
12,7.0,Washington State,6.0,6.0
13,10.0,Drake,6.0,6.0
14,2.0,Iowa State,4.4,4.4
15,15.0,South Dakota State,5.0,5.0
16,1.0,Houston,6.0,6.0
17,16.0,Longwood,1.2,1.2
18,8.0,Nebraska,1.2,1.2
19,9.0,Texas A&M,3.0,3.0
20,5.0,Wisconsin,3.0,3.0
21,12.0,James Madison,3.0,3.0
22,4.0,Duke,1.2,1.2
23,13.0,Vermont,9.6,9.6
24,6.0,Texas Tech,0.0,0.0
25,11.0,NC State,0.0,0.0
26,3.0,Kentucky,4.4,4.4
27,14.0,Oakland,0.0,0.0
28,7.0,Florida,0.0,0.0
29,10.0,Boise State,3.0,3.0
30,10.0,Colorado,8.4,8.4
31,2.0,Marquette,0.0,0.0
32,15.0,Western Kentucky,0.0,0.0
33,1.0,North Carolina,0.0,0.0
34,16.0,Howard,0.0,0.0
35,16.0,Wagner,4.8,4.8
36,8.0,Mississippi State,4.8,4.8
37,9.0,Michigan State,0.0,0.0
38,5.0,St. Mary's,0.0,0.0
39,12.0,Grand Canyon,0.0,0.0
40,4.0,Alabama,1.2,1.2
41,13.0,Charleston,2.0,2.0
42,6.0,Clemson,2.0,2.0
43,11.0,New Mexico,2.0,2.0
44,3.0,Baylor,0.0,0.0
45,14.0,Colgate,0.0,0.0
46,7.0,Dayton,0.0,0.0
47,10.0,Nevada,0.0,0.0
48,2.0,Arizona,0.0,0.0
49,15.0,Long Beach State,0.0,0.0
50,1.0,Purdue,2.0,2.0
51,16.0,Grambling,0.0,0.0
52,16.0,Montana State,0.0,0.0
53,8.0,Utah State,0.0,0.0
54,9.0,TCU,0.0,0.0
55,5.0,Gonzaga,1.2,1.2
56,12.0,McNeese State,1.0,1.0
57,4.0,Kansas,1.0,1.0
58,13.0,Samford,6.0,6.0
59,6.0,South Carolina,0.0,0.0
60,11.0,Oregon,0.0,0.0
61,3.0,Creighton,0.0,0.0
62,14.0,Akron,0.0,0.0
63,7.0,Texas,0.0,0.0
64,10.0,Virginia,0.0,0.0
65,10.0,Colorado State,0.0,0.0
66,2.0,Tennessee,0.0,0.0
67,15.0,St. Peter's,0.0,0.0
