,Seed,Team,Index,Projected,Actual
0,1,Connecticut,6057,6.0,42
1,1,Houston,6115,14.4,6
2,1,North Carolina,6206,9.6,6
3,1,Purdue,6241,30.0,30
4,2,Iowa State,6128,12.0,6
5,2,Marquette,6160,8.4,6
6,2,Arizona,6011,35.4,6
7,2,Tennessee,6292,19.6,12
8,3,Illinois,6120,4.4,13
9,3,Kentucky,6139,8.6,0
10,3,Baylor,6020,2.0,2
11,3,Creighton,6060,6.0,6
12,4,Auburn,6017,25.0,0
13,4,Duke,6074,13.6,15
14,4,Alabama,6004,1.2,21
15,4,Kansas,6134,0.0,2
16,5,San Diego St.,6260,2.0,6
17,5,Wisconsin,6347,2.0,0
18,5,St. Mary's,6255,10.6,0
19,5,Gonzaga,6104,6.0,7
20,6,BYU,6034,4.8,0
21,6,Texas Tech,6301,4.8,0
22,6,Clemson,6049,0.0,17
23,6,South Carolina,6273,0.0,0
24,7,Washington State,6337,0.0,2
25,7,Florida,6087,0.0,0
26,7,Dayton,6066,1.2,2
27,7,Texas,6296,1.2,2
28,8,Florida Atlantic,6089,0.0,0
29,8,Nebraska,6195,1.2,0
30,8,Mississippi State,6177,0.0,0
31,8,Utah State,6321,0.0,2
32,9,Northwestern,6217,3.0,3
33,9,Texas A&M,6297,1.2,2
34,9,Michigan State,6172,3.0,3
35,9,TCU,6290,3.0,0
36,10,Drake,6072,5.0,0
37,10,Boise State,6024,0.0,0
38,10,Colorado,6054,6.0,6
39,10,Nevada,6196,2.0,0
40,10,Virginia,6331,0.0,0
41,10,Colorado State,6055,3.0,1
42,11,Duquesne,6075,0.0,7
43,11,NC State,6193,0.0,41
44,11,New Mexico,6198,19.0,0
45,11,Oregon,6228,7.0,7
46,12,UAB,6308,0.0,0
47,12,James Madison,6133,0.0,9
48,12,Grand Canyon,6106,0.0,9
49,12,McNeese State,6164,0.0,0
50,13,Yale,6352,0.0,11
51,13,Vermont,6329,0.0,0
52,13,Charleston,6053,4.4,0
53,13,Samford,6258,11.0,0
54,14,Morehead State,6183,0.0,0
55,14,Oakland,6220,0.0,13
56,14,Colgate,6052,0.0,0
57,14,Akron,6003,0.0,0
58,15,South Dakota State,6275,0.0,0
59,15,Western Kentucky,6342,0.0,0
60,15,Long Beach State,6147,0.0,0
61,15,St. Peter's,6256,0.0,0
62,,,,,
63,,Team,,,
64,1,Houston,6115,30.0,6
65,1,Alabama,6004,30.0,6
66,1,Purdue,6241,6.0,0
67,1,Kansas,6134,6.0,2
68,2,UCLA,6313,29.2,6
69,2,Texas,6296,15.6,12
70,2,Arizona,6011,9.6,0
71,2,Marquette,6160,12.0,2
72,3,Gonzaga,6104,6.0,13
73,3,Baylor,6020,2.0,2
74,3,Kansas State,6136,1.2,12
75,3,Xavier,6351,6.0,6
76,4,Tennessee,6292,25.0,6
77,4,UConn,6057,15.0,43
78,4,Indiana,6124,3.6,2
79,4,Virginia,6331,2.0,0
80,5,San Diego State,6260,7.0,34
81,5,Saint Mary's,6255,2.0,2
82,5,Duke,6074,2.0,2
83,5,Miami,6169,1.2,28
84,6,Creighton,6060,13.0,15
85,6,Iowa State,6128,2.0,0
86,6,Kentucky,6139,9.0,2
87,6,TCU,6290,2.0,2
88,7,Texas A&M,6297,1.2,0
89,7,Michigan State,6172,1.2,11
