,Team,Elite 8,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_Barthag,bluePower_Seed
0,Louisville,0,2.6390573296152584,3.4011973816621555,4.789157022101107,4.490881039585964,1,0.6778812468895119,4.007333185232471,3.8022081394209395,2.766319109226186,3.265759410767051,3.6454498961866,3.5234150143864045,3.7232808808312687,3.6686767467964168,3.9889840465642745,3.8044377947482086,3.6402142821326553,3.40452517175483,3.6000482404073204,3.456316680883235,4.248495242049359,1.791759469228055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214600143126404,4.728555960173844
2,Arizona,1,2.833213344056216,3.4339872044851463,4.7535901911063645,4.473921899378137,0,0.6741682139621425,3.9627161197436642,3.765840495250065,2.833213344056216,2.995732273553991,3.6428355156125294,3.295836866004329,3.754198920234579,3.56953269648137,3.949318790171843,3.7256934272366524,3.6000482404073204,3.4781584227982836,3.3141860046725258,3.3032169733019514,4.183575695950044,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4812989689764826,6.225205992397257
4,Florida,1,2.833213344056216,3.4965075614664802,4.761318868478023,4.497584975308154,0,0.6706459152134318,3.983413001514819,3.8308129500026027,2.9338568698359038,3.131136910560194,3.6000482404073204,3.3945083935113587,3.7932394694381792,3.5145260669691587,3.9569963710708773,3.7819143200811256,3.632309102625542,3.535145354171894,3.591817741270805,3.481240089335692,4.165113633110308,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4735596875970947,6.225205992397257
6,Duke,0,2.70805020110221,3.295836866004329,4.844974178195408,4.593097604753822,0,0.6672137985334408,4.007333185232471,3.912023005428146,2.7343675094195836,2.9806186357439426,3.586292865338835,3.487375077903208,3.696351468952637,3.7184382563554808,3.9473901492654373,3.9318256327243257,3.6988297849671046,3.449987545831587,3.6888794541139363,3.2188758248682006,4.216562194946349,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.466018556475533,5.950194458522068
8,Virginia,0,2.833213344056216,3.367295829986474,4.73795129722191,4.493120682179469,0,0.6654162068216343,3.9435216724875173,3.8044377947482086,2.8791984572980396,2.9856819377004897,3.5779478934066544,3.3105430133940246,3.770459441106359,3.505557396986398,3.910021002757473,3.756538102587751,3.624340932976365,3.493472657771326,3.4210000089583352,3.5524868292083815,4.131961425793407,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4620688437863358,6.225205992397257
10,Wisconsin,1,2.772588722239781,3.295836866004329,4.811371016571989,4.580877493419047,0,0.6603656910355657,3.9908341858524357,3.8815637979434374,2.6100697927420065,2.8094026953624978,3.3638415951183864,3.3568971227655755,3.8088822465086327,3.292126286607793,3.9569963710708773,3.8543938925915096,3.6454498961866,3.563882963939251,3.696351468952637,3.269568939183719,4.178992036282385,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4509717263729616,6.092000083350472
12,Creighton,0,2.70805020110221,3.295836866004329,4.848116364598481,4.619073091157083,0,0.6597455039259149,4.09933210373314,3.8918202981106265,2.785011242238338,2.7788192719904172,3.370738174177447,3.3603753871419,3.563882963939251,3.5234150143864045,4.046553898385752,3.86702563949741,3.763522997109702,3.543853682063679,3.822098297900159,3.5779478934066544,4.198704577546343,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4496090360130895,5.950194458522068
14,Kansas,0,2.772588722239781,3.2188758248682006,4.797442073635214,4.56954300834494,1,0.6594869790673101,4.0163830207523885,3.8732821771117156,2.995732273553991,2.8507065015037334,3.6402142821326553,3.40452517175483,3.910021002757473,3.845883202923601,4.037774210733707,3.8088822465086327,3.56953269648137,3.6082115510464816,3.407841924380824,3.4688560301359703,4.238444906195857,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4490409988399109,6.092000083350472
16,Villanova,0,2.772588722239781,3.367295829986474,4.763028270603671,4.541164856012179,1,0.6571054092126798,4.007333185232471,3.8628327612373745,2.9014215940827497,3.054001181677967,3.529297384289471,3.3978584803966405,3.828641396489095,3.681351187693145,4.005513348515485,3.7932394694381792,3.6136169696133895,3.594568774642695,3.8199077165203406,3.517497837358316,4.225372824628505,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443808155022674,6.092000083350472
18,Michigan St.,1,2.6390573296152584,3.295836866004329,4.782479200958502,4.562262684976814,1,0.6562757057840406,4.0163830207523885,3.8543938925915096,2.89591193827178,2.9601050959108397,3.5409593240373143,3.3568971227655755,3.5409593240373143,3.6913763343125234,3.9721769282478934,3.8066624897703196,3.6913763343125234,3.5322256440685598,3.6054978451748854,3.6375861597263857,4.209160236650682,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4419851102573678,5.798601625629939
20,Tennessee,0,1.9459101490553132,3.044522437723423,4.763881877142913,4.549657476057832,1,0.6539384673346647,3.9180050771056933,3.8480176754522337,2.9014215940827497,2.9014215940827497,3.7062280924485496,3.353406717825807,3.744787086052232,3.529297384289471,3.9160150266976834,3.8044377947482086,3.5263605246161616,3.5553480614894135,3.4531571205928664,3.342861804649192,4.165113633110308,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4368496724933038,4.27560160479232
22,Pittsburgh,0,2.1972245773362196,3.258096538021482,4.771531723203316,4.558078578454241,1,0.6538344631744044,3.949318790171843,3.86702563949741,2.8622008809294686,3.005682604407159,3.655839600035736,3.3945083935113587,3.8501476017100584,3.6375861597263857,3.9318256327243257,3.835141961092188,3.6000482404073204,3.529297384289471,3.3250360206965914,3.5380565643793527,4.175924549214524,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1715140907003811,3.936897942462782
