,Team,Seed,Win,AdjOE,AdjDE,Barthag,AdjOD,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,Conf_P12,bluePower_Barthag,bluePower_Seed
0,Houston,2.833213344056216,3.4339872044851463,4.8346933442663405,4.48863636973214,0.6842577867140281,1,3.983413001514819,3.8264651170664994,2.747270914255491,3.122364924487357,3.6136169696133895,3.4111477125153233,3.374168709274236,3.55820113047182,3.912023005428146,3.8044377947482086,3.708682081410116,3.462606009790799,3.56953269648137,3.7864597824528,4.133565275375382,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5034680262017475,6.225205992397257
2,Duke,2.833213344056216,3.4657359027997265,4.863680881139593,4.525044141508807,0.6834503175810814,1,4.067315889834181,3.817712325956905,2.7343675094195836,2.928523523860541,3.5890591188317256,3.3141860046725258,3.4995332823830174,3.2733640101522705,4.07753744390572,3.7932394694381792,3.655839600035736,3.462606009790799,3.8372994592322094,3.6609942506244004,4.200204952921578,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5016938351773967,6.225205992397257
4,Auburn,2.833213344056216,3.367295829986474,4.867534450455582,4.550714000192032,0.6808721496843327,1,4.037774210733707,3.8501476017100584,2.667228206581955,2.91235066461494,3.563882963939251,3.4436180975461075,3.5409593240373143,3.6938669956249757,4.044804116661965,3.8753590210565547,3.632309102625542,3.407841924380824,3.728100167267218,3.5779478934066544,4.231203744939298,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4960290213101612,6.225205992397257
6,Florida,2.833213344056216,3.4339872044851463,4.857484114602081,4.553876891600541,0.6786932235897949,1,4.02535169073515,3.835141961092188,2.772588722239781,2.8903717578961645,3.66612246699132,3.3945083935113587,3.5145260669691587,3.5263605246161616,4.050044303325521,3.8480176754522337,3.597312260588446,3.4210000089583352,3.7977338590260183,3.6454498961866,4.255612709818223,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4912414313430435,6.225205992397257
8,Alabama,2.772588722239781,3.258096538021482,4.856706811803519,4.578826210648489,0.6740153282439189,0,4.048300623720694,3.8897773964808264,2.8735646395797834,2.6741486494265287,3.5751506887855933,3.407841924380824,3.716008121502189,3.5524868292083815,4.1059436980654525,3.9080149840306073,3.58351893845611,3.459466289786131,3.8543938925915096,3.586292865338835,4.3254562831854875,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.480963044718878,6.092000083350472
10,Tennessee,2.772588722239781,3.332204510175204,4.789988622980633,4.522874943261261,0.6714126884139391,1,3.9852734671677386,3.8155121050473024,2.833213344056216,2.9338568698359038,3.594568774642695,3.4372078191851885,3.594568774642695,3.414442608412176,4.009149716158869,3.8649313978942956,3.5553480614894135,3.3603753871419,3.784189633918261,3.8308129500026027,4.1713056033582285,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4752444605184922,6.092000083350472
12,Texas Tech,2.70805020110221,3.258096538021482,4.844187086458591,4.581901559048737,0.6701855689225984,0,4.034240638152395,3.8918202981106265,2.760009940032921,2.91235066461494,3.563882963939251,3.3843902633457743,3.4242626545931514,3.5409593240373143,4.012772908528289,3.8958936234982624,3.6609942506244004,3.487375077903208,3.8199077165203406,3.55820113047182,4.198704577546343,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4725482034127901,5.950194458522068
14,Iowa St.,2.70805020110221,3.2188758248682006,4.786658062033468,4.535820107853298,0.6668545386050214,1,4.018183201256536,3.899950424193877,2.884800712846709,3.126760535960395,3.502549875922443,3.380994674344636,3.676300671907076,3.3978584803966405,4.027135812528651,3.8815637979434374,3.6054978451748854,3.5322256440685598,3.634951112088381,3.730501128804756,4.241326752570746,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4652291817311578,5.950194458522068
16,Arizona,2.6390573296152584,3.1354942159291497,4.827513417131532,4.579852378003801,0.6662383640027275,0,3.9871304779149512,3.903990833730882,2.8449093838194073,2.8678989020441064,3.6082115510464816,3.3843902633457743,3.6270040503958487,3.407841924380824,4.027135812528651,3.8753590210565547,3.5085558999826545,3.543853682063679,3.572345637857985,3.758871825933971,4.2612704335380815,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4638753077510673,5.798601625629939
18,Maryland,2.6390573296152584,3.258096538021482,4.777441406928545,4.532599493153256,0.6652105618669226,1,4.00369019395397,3.871201010907891,2.740840023925201,3.054001181677967,3.4657359027997265,3.339321977944068,3.5234150143864045,3.292126286607793,3.983413001514819,3.883623530906448,3.6428355156125294,3.456316680883235,3.597312260588446,3.6054978451748854,4.259859000699674,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4616169956376381,5.798601625629939
