,Year,Entrants,Winning Pts,Winning Cash,Win $/Pt,$/Pt/Entrant,Total Points,Total Cash,$/Pt,$/Pt/Entrant.1
0,2006,6,81,100.0,1.23,0.21,359,582.0,1.62,0.27
1,2007,8,60,98.0,1.63,0.2,269,788.0,2.93,0.37
2,2008,7,70,99.0,1.41,0.2,304,662.0,2.18,0.31
3,2009,9,69,97.0,1.41,0.16,293,844.0,2.88,0.32
4,2010,7,85,100.0,1.18,0.17,329,697.0,2.12,0.3
5,2011,8,112,79.0,0.71,0.09,340,761.0,2.24,0.28
6,2012,7,73,96.0,1.32,0.19,329,678.0,2.06,0.29
7,2013,7,90,100.0,1.11,0.16,346,675.0,1.95,0.28
8,2014,6,104,97.0,0.93,0.16,353,588.0,1.67,0.28
9,2015,7,61,100.0,1.64,0.23,302,697.0,2.31,0.33
10,2016,8,87,63.0,0.72,0.09,335,761.0,2.27,0.28
11,2017,8,77,97.0,1.26,0.16,291,776.0,2.67,0.33
12,2018,10,100,100.0,1.0,0.1,320,980.0,3.06,0.31
13,2019,7,78,93.0,1.19,0.17,304,645.0,2.12,0.3
14,2021,9,78,100.0,1.28,0.14,369,891.0,2.41,0.27
15,2022,7,107,100.0,0.93,0.13,360,692.0,1.92,0.27
16,2023,7,70,100.0,1.43,0.2,320,700.0,2.19,0.31
17,2024,6,112,100.0,0.89,0.15,324,600.0,1.85,0.31
