,Team,BPI Rank,Index
0,Duke,1.0,6074
1,Houston,2.0,6115
2,Auburn,3.0,6017
3,Florida,4.0,6087
4,Tennessee,5.0,6292
5,Alabama,6.0,6004
6,Iowa State,7.0,6128
7,Texas Tech,8.0,6301
8,Arizona,9.0,6011
9,Gonzaga,10.0,6104
10,Michigan State,11.0,6172
11,St. John's,12.0,6284
12,Maryland,13.0,6162
13,Kansas,14.0,6134
14,Clemson,15.0,6049
15,Connecticut,16.0,6057
16,Kentucky,17.0,6139
17,Wisconsin,18.0,6347
18,Baylor,19.0,6020
19,Marquette,20.0,6160
20,Purdue,21.0,6241
21,Texas A&M,22.0,6297
22,Illinois,23.0,6120
23,BYU,24.0,6034
24,North Carolina,25.0,6206
25,Creighton,26.0,6060
26,UCLA,27.0,6313
27,Louisville,28.0,6152
28,Michigan,29.0,6171
29,Saint Mary's,30.0,6255
30,Missouri,31.0,6178
31,Mississippi,32.0,6176
32,Texas,33.0,6296
33,VCU,34.0,6328
34,Mississippi State,35.0,6177
35,Oregon,36.0,6228
36,Georgia,38.0,6100
37,Xavier,39.0,6351
38,Arkansas,42.0,6014
39,Oklahoma,43.0,6223
40,Utah State,44.0,6321
41,Memphis,46.0,6166
42,New Mexico,49.0,6198
43,Colorado State,53.0,6055
44,San Diego State,54.0,6260
45,Vanderbilt,56.0,6327
46,UC San Diego,57.0,6354
47,McNeese State,66.0,6164
48,Yale,68.0,6352
49,Drake,73.0,6072
50,High Point,81.0,6112
51,Liberty,85.0,6144
52,Grand Canyon,87.0,6106
53,Lipscomb,106.0,6145
54,Troy,109.0,6305
55,NC Wilmington,111.0,6194
56,Akron,112.0,6003
57,Bryant,131.0,6030
58,Wofford,139.0,6348
59,Robert Morris,168.0,6248
60,Norfolk State,171.0,6204
61,Montana,173.0,6181
62,Omaha,211.0,6226
63,American,227.0,6009
64,Mount St. Mary's,239.0,6185
65,SIU Edwardsville,240.0,6270
66,Alabama State,275.0,6006
67,Saint Francis (PA),307.0,6252
