,Team,KenPom Rank,Index
0,Duke,1.0,6074.0
1,Florida,2.0,6087.0
2,Houston,3.0,6115.0
3,Auburn,4.0,6017.0
4,Tennessee,5.0,6292.0
5,Alabama,6.0,6004.0
6,Texas Tech,7.0,6301.0
7,Michigan St.,8.0,6172.0
8,Gonzaga,9.0,6104.0
9,Iowa St.,10.0,6128.0
10,St. John's,11.0,6284.0
11,Maryland,12.0,6162.0
12,Wisconsin,13.0,6347.0
13,Arizona,14.0,6011.0
14,Missouri,15.0,6178.0
15,Kentucky,16.0,6139.0
16,Texas A&M,17.0,6297.0
17,Clemson,18.0,6049.0
18,Purdue,19.0,6241.0
19,Illinois,20.0,6120.0
20,Kansas,21.0,6134.0
21,Saint Mary's,22.0,6255.0
22,Louisville,23.0,6152.0
23,BYU,24.0,6034.0
24,Michigan,25.0,6171.0
25,Mississippi,26.0,6176.0
26,UCLA,27.0,6313.0
27,Marquette,28.0,6160.0
28,Baylor,29.0,6020.0
29,VCU,30.0,6328.0
30,Oregon,31.0,6228.0
31,Mississippi St.,32.0,6177.0
32,North Carolina,33.0,6206.0
33,Georgia,34.0,6100.0
34,Connecticut,35.0,6057.0
35,UC San Diego,36.0,6354.0
36,Creighton,37.0,6060.0
37,Oklahoma,38.0,6223.0
38,Ohio St.,39.0,
39,Arkansas,40.0,6014.0
40,New Mexico,41.0,6198.0
41,Colorado State,42.0,6055.0
42,Xavier,43.0,6351.0
43,Texas,44.0,6296.0
44,Northwestern,45.0,6217.0
45,San Diego St.,46.0,6260.0
46,SMU,47.0,6271.0
47,Indiana,48.0,6124.0
48,Vanderbilt,49.0,6327.0
49,Boise St.,50.0,6024.0
50,Memphis,51.0,6166.0
51,Utah St.,52.0,6321.0
52,West Virginia,53.0,6339.0
53,Nebraska,54.0,6195.0
54,Cincinnati,55.0,6048.0
55,Villanova,56.0,6330.0
56,Santa Clara,57.0,6263.0
57,Drake,58.0,6072.0
58,McNeese State,59.0,6164.0
59,Penn St.,60.0,6231.0
60,Pittsburgh,61.0,6234.0
61,Liberty,62.0,6144.0
62,USC,63.0,6277.0
63,Iowa,64.0,6127.0
64,San Francisco,65.0,6261.0
65,UC Irvine,66.0,6310.0
66,Kansas St.,67.0,6136.0
67,UCF,68.0,
68,South Carolina,69.0,6273.0
69,Arizona St.,70.0,
70,Wake Forest,71.0,6335.0
71,North Texas,72.0,6210.0
72,Yale,73.0,6352.0
73,Dayton,74.0,6066.0
74,Rutgers,75.0,6249.0
75,Utah,76.0,6320.0
76,Butler,77.0,6033.0
77,George Mason,78.0,6097.0
78,Saint Joseph's,79.0,
79,Nevada,80.0,6196.0
80,Colorado,81.0,6054.0
81,Stanford,82.0,6285.0
82,Lipscomb,83.0,6145.0
83,High Point,84.0,6112.0
84,Oregon St.,85.0,
85,TCU,86.0,6290.0
86,Georgetown,87.0,6099.0
87,LSU,88.0,6156.0
88,Florida St.,89.0,
89,Minnesota,90.0,6175.0
90,Arkansas St.,91.0,
91,UNLV,92.0,6317.0
92,Grand Canyon,93.0,6106.0
93,Georgia Tech,94.0,6103.0
94,Bradley,95.0,6028.0
95,Notre Dame,96.0,6219.0
96,Providence,97.0,6240.0
