,Team,Elite 8,Seed,W,NetRtg,ORtg,DRtg,AdjOD,AdjT,Luck,SoSNetRtg,SoSORtg,SoSDRtg,ConfSoSNetRtg,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_NetRtg,bluePower_Seed
0,Louisville,0,2.6390573296152584,3.4657359027997265,3.447126313550555,4.786658062033468,4.4942386252808095,1,4.222444564849416,-0.046043938501406846,1.6695918352538475,4.68213122712422,4.641502115235482,0.0,1.791759469228055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.176421213929404,4.728555960173844
1,Arizona,1,2.833213344056216,3.5263605246161616,3.4375293109095457,4.7664383335842135,4.470495282661489,1,4.155753190350744,0.013902905168991434,2.33214389523559,4.7086288943563215,4.6210435351443815,0.9631743177730056,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.553023887244093,6.225205992397257
2,Florida,1,2.833213344056216,3.6109179126442243,3.3867603338643857,4.7664383335842135,4.48863636973214,1,4.131961425793407,0.051643233151838386,2.3045830956567186,4.704110133842995,4.619073091157083,1.220829921392359,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.441473043114248,6.225205992397257
3,Virginia,0,2.833213344056216,3.4339872044851463,3.312730400339825,4.751864565138895,4.492001487882454,0,4.102643365036796,0.011928570865273812,2.269028309465203,4.704110133842995,4.623010104116422,0.9439058989071285,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2788126537155176,6.225205992397257
4,Wisconsin,1,2.772588722239781,3.4339872044851463,3.2917544702807735,4.812184355372417,4.575741375297279,0,4.14946386144318,0.018821754240587667,2.5209170873110334,4.711330381816482,4.603168183317418,1.4655675420143985,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.232723824657284,6.092000083350472
5,Wichita St.,0,2.833213344056216,3.58351893845611,3.2718477096343066,4.777441406928545,4.536891345234797,1,4.1666652238017265,-0.00904074465214907,0.712949807856125,4.6709579265260945,4.661550519424199,1.358409157630355,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.188984200909718,6.225205992397257
6,Kansas,0,2.772588722239781,3.258096538021482,3.242592351485517,4.789988622980633,4.5612182984589085,1,4.213607983048918,-0.052346480372209236,2.574899688314705,4.729156165769083,4.61512051684126,2.3485140248824456,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.124703608966423,6.092000083350472
7,Duke,0,2.70805020110221,3.295836866004329,3.228826155721369,4.8338981155962015,4.619073091157083,0,4.183575695950044,-0.03562717764315116,2.278292400425001,4.702296896718814,4.620058798481842,1.2237754316221157,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.094456185297015,5.950194458522068
8,Michigan St.,1,2.6390573296152584,3.4011973816621555,3.2156706939192525,4.784152841516532,4.5612182984589085,1,4.180522258463153,-0.0030045090202987243,2.437115985951652,4.711330381816482,4.612145799724517,0.45107561936021656,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0655506812991975,5.798601625629939
9,Tennessee,0,1.9459101490553132,3.2188758248682006,3.206398303357088,4.778282803696737,4.55597994179732,1,4.136765278106052,-0.10425002137379911,2.21046980408624,4.699570861409576,4.623010104116422,0.9001613499442714,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.045177156865349,4.27560160479232
10,Villanova,0,2.772588722239781,3.4011973816621555,3.205993199037187,4.76473475565943,4.539030383483547,1,4.204692619390966,0.07232066157962608,2.136530508663963,4.7104306966455844,4.640537329825382,1.2837077723447896,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.044287051697277,6.092000083350472
11,Michigan,1,2.772588722239781,3.367295829986474,3.1962211343033946,4.827513417131532,4.620058798481842,0,4.127134385045092,0.045928931888399735,2.5376572151735295,4.712229258281499,4.601162164590552,0.4824261492442928,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.022815630892868,6.092000083350472
12,Kentucky,1,2.302585092994046,3.4011973816621555,3.159125820462427,4.78164132910387,4.572646994282532,1,4.174387269895637,-0.025317807984289897,2.462149662665384,4.7140245909001735,4.613138355637268,1.6467336971777973,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.941308895617493,5.059296557734522
13,UCLA,0,2.6390573296152584,3.367295829986474,3.158276202739271,4.784988612563928,4.575741375297279,0,4.239886867512759,-0.019182819416773987,2.1552445050953364,4.701389043728634,4.629862798578463,0.0,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.939442094674836,5.798601625629939
14,Connecticut,1,2.3978952727983707,3.4965075614664802,3.141130476243348,4.741447804280639,4.52720864451838,0,4.162003210695915,0.0769610411361284,2.344686269012681,4.706823839714591,4.618086411254637,0.6471032420585385,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.901769083021708,5.268714427270919
