,Team,LRMC B Rank,Index
0,Duke,1.0,6074.0
1,Florida,2.0,6087.0
2,Auburn,3.0,6017.0
3,Houston,4.0,6115.0
4,Gonzaga,5.0,6104.0
5,Tennessee,6.0,6292.0
6,Alabama,7.0,6004.0
7,Iowa St.,8.0,6128.0
8,St John's,9.0,6284.0
9,Texas Tech,10.0,6301.0
10,Maryland,11.0,6162.0
11,Wisconsin,12.0,6347.0
12,Michigan St.,13.0,6172.0
13,Arizona,14.0,6011.0
14,Kentucky,15.0,6139.0
15,Missouri,16.0,6178.0
16,Kansas,17.0,6134.0
17,Clemson,18.0,6049.0
18,Marquette,19.0,6160.0
19,Purdue,20.0,6241.0
20,BYU,21.0,6034.0
21,Illinois,22.0,6120.0
22,Texas A&M,23.0,6297.0
23,St Mary's CA,24.0,6255.0
24,Louisville,25.0,6152.0
25,Michigan,26.0,6171.0
26,Mississippi,27.0,6176.0
27,Connecticut,28.0,6057.0
28,VCU,29.0,6328.0
29,UCLA,30.0,6313.0
30,New Mexico,31.0,6198.0
31,UC San Diego,32.0,6354.0
32,North Carolina,33.0,6206.0
33,Baylor,34.0,6020.0
34,Mississippi St.,35.0,6177.0
35,Creighton,36.0,6060.0
36,Memphis,37.0,6166.0
37,Oregon,38.0,6228.0
38,Xavier,39.0,6351.0
39,Georgia,40.0,6100.0
40,Arkansas,41.0,6014.0
41,Boise St.,42.0,6024.0
42,Ohio St.,43.0,
43,Colorado St.,44.0,6055.0
44,Texas,45.0,6296.0
45,Oklahoma,46.0,6223.0
46,Utah St.,47.0,6321.0
47,San Diego St.,48.0,6260.0
48,West Virginia,49.0,6339.0
49,Villanova,50.0,6330.0
50,SMU,51.0,6271.0
51,Cincinnati,52.0,6048.0
52,Indiana,53.0,6124.0
53,Vanderbilt,54.0,6327.0
54,Liberty,55.0,6144.0
55,Northwestern,56.0,6217.0
56,Santa Clara,57.0,6263.0
57,McNeese State,58.0,6164.0
58,UC Irvine,59.0,6310.0
59,Kansas St.,60.0,6136.0
60,Pittsburgh,61.0,6234.0
61,Drake,62.0,6072.0
62,Penn St.,63.0,6231.0
63,Nebraska,64.0,6195.0
64,St Joseph's PA,65.0,
65,USC,66.0,6277.0
66,Yale,67.0,6352.0
67,UCF,68.0,
68,Arizona St.,69.0,
69,San Francisco,70.0,6261.0
70,Dayton,71.0,6066.0
71,Wake Forest,72.0,6335.0
72,Rutgers,73.0,6249.0
73,George Mason,74.0,6097.0
74,North Texas,75.0,6210.0
75,Nevada,76.0,6196.0
76,Iowa,77.0,6127.0
77,South Carolina,78.0,6273.0
78,Colorado,79.0,6054.0
79,High Point,80.0,6112.0
80,TCU,81.0,6290.0
81,Lipscomb,82.0,6145.0
82,Butler,83.0,6033.0
83,Arkansas St.,84.0,
84,Grand Canyon,85.0,6106.0
85,Utah,86.0,6320.0
86,Bradley,87.0,6028.0
87,Stanford,88.0,6285.0
88,Notre Dame,89.0,6219.0
89,Akron,90.0,6003.0
90,LSU,91.0,6156.0
91,Georgetown,92.0,6099.0
92,Florida St.,93.0,
93,Minnesota,94.0,6175.0
94,UNLV,95.0,6317.0
95,Oregon St.,96.0,
96,Troy,97.0,6305.0
