,Team,LRMC C Rank,Index
0,Duke,1.0,6074.0
1,Houston,2.0,6115.0
2,Florida,3.0,6087.0
3,Auburn,4.0,6017.0
4,Iowa St.,5.0,6128.0
5,St John's,6.0,6284.0
6,Gonzaga,7.0,6104.0
7,Texas Tech,8.0,6301.0
8,Tennessee,9.0,6292.0
9,Alabama,10.0,6004.0
10,Arizona,11.0,6011.0
11,Michigan St.,12.0,6172.0
12,Maryland,13.0,6162.0
13,Wisconsin,14.0,6347.0
14,Kansas,15.0,6134.0
15,Louisville,16.0,6152.0
16,Missouri,17.0,6178.0
17,Marquette,18.0,6160.0
18,Purdue,19.0,6241.0
19,Clemson,20.0,6049.0
20,BYU,21.0,6034.0
21,Michigan,22.0,6171.0
22,Illinois,23.0,6120.0
23,Kentucky,24.0,6139.0
24,St Mary's CA,25.0,6255.0
25,Creighton,26.0,6060.0
26,North Carolina,27.0,6206.0
27,Connecticut,28.0,6057.0
28,Baylor,29.0,6020.0
29,UCLA,30.0,6313.0
30,Texas A&M,31.0,6297.0
31,Xavier,32.0,6351.0
32,Mississippi,33.0,6176.0
33,VCU,34.0,6328.0
34,Mississippi St.,35.0,6177.0
35,Villanova,36.0,6330.0
36,Georgia,37.0,6100.0
37,Arkansas,38.0,6014.0
38,Ohio St.,39.0,
39,Oregon,40.0,6228.0
40,New Mexico,41.0,6198.0
41,West Virginia,42.0,6339.0
42,Memphis,43.0,6166.0
43,Cincinnati,44.0,6048.0
44,Indiana,45.0,6124.0
45,Colorado St.,46.0,6055.0
46,SMU,47.0,6271.0
47,Northwestern,48.0,6217.0
48,Boise St.,49.0,6024.0
49,Texas,50.0,6296.0
50,Pittsburgh,51.0,6234.0
51,UCF,52.0,
52,Santa Clara,53.0,6263.0
53,Oklahoma,54.0,6223.0
54,Kansas St.,55.0,6136.0
55,Vanderbilt,56.0,6327.0
56,USC,57.0,6277.0
57,Nebraska,58.0,6195.0
58,Penn St.,59.0,6231.0
59,Dayton,60.0,6066.0
60,Colorado,61.0,6054.0
61,San Diego St.,62.0,6260.0
62,Utah St.,63.0,6321.0
63,UC San Diego,64.0,6354.0
64,TCU,65.0,6290.0
65,Wake Forest,66.0,6335.0
66,Rutgers,67.0,6249.0
67,Utah,68.0,6320.0
68,Butler,69.0,6033.0
69,St Joseph's PA,70.0,
70,San Francisco,71.0,6261.0
71,Arizona St.,72.0,
72,Iowa,73.0,6127.0
73,Georgetown,74.0,6099.0
74,Providence,75.0,6240.0
75,Notre Dame,76.0,6219.0
76,Stanford,77.0,6285.0
77,South Carolina,78.0,6273.0
78,George Mason,79.0,6097.0
79,Minnesota,80.0,6175.0
80,Nevada,81.0,6196.0
81,Georgia Tech,82.0,6103.0
82,Oklahoma St.,83.0,6224.0
83,North Texas,84.0,6210.0
84,UC Irvine,85.0,6310.0
85,Florida St.,86.0,
86,LSU,87.0,6156.0
87,McNeese State,88.0,6164.0
88,UNLV,89.0,6317.0
89,Oregon St.,90.0,
90,Loyola-Chicago,91.0,6154.0
91,Drake,92.0,6072.0
92,Virginia,93.0,6331.0
93,DePaul,94.0,6070.0
94,Syracuse,95.0,6289.0
95,Liberty,96.0,6144.0
96,UAB,97.0,6308.0
97,California,98.0,6036.0
98,Grand Canyon,99.0,6106.0
99,Arkansas St.,100.0,
100,NC St.ate,101.0,
101,Bradley,102.0,6028.0
102,Northern Iowa,103.0,6215.0
103,St Louis,104.0,
104,St Bonaventure,105.0,
105,Washington St.,106.0,
106,Lipscomb,107.0,6145.0
107,G Washington,108.0,
108,Yale,109.0,6352.0
109,Virginia Tech,110.0,6332.0
110,High Point,111.0,6112.0
111,Akron,112.0,6003.0
112,Duquesne,113.0,6075.0
113,Tulane,114.0,6306.0
114,FL Atlantic,115.0,
115,Illinois St.,116.0,
116,Washington,117.0,6336.0
117,Wichita St.,118.0,
118,Belmont,119.0,6021.0
119,Troy,120.0,6305.0
120,UNC Wilmington,121.0,6194.0
121,Davidson,122.0,6065.0
122,Murray St.,123.0,
123,Utah Valley,124.0,6322.0
124,St Thomas MN,125.0,
125,Chattanooga,126.0,6046.0
126,Temple,127.0,6291.0
127,MTSU,128.0,
128,Jacksonville St.,129.0,
129,S Dakota St.,130.0,
130,Miami FL,131.0,6169.0
131,North Alabama,132.0,6205.0
132,Samford,133.0,6258.0
133,N Colorado,134.0,
134,Towson,135.0,6304.0
135,Seton Hall,136.0,6268.0
136,Rhode Island,137.0,6244.0
137,CS Northridge,138.0,6063.0
138,South Alabama,139.0,6272.0
139,Robert Morris,140.0,6248.0
140,Loy Marymount,141.0,
141,Col Charleston,142.0,
142,Kent,143.0,6138.0
143,New Mexico St.,144.0,
144,UC Riverside,145.0,6311.0
145,San Jose St.,146.0,
146,Cal Baptist,147.0,
147,N Dakota St.,148.0,
148,Massachusetts,149.0,6163.0
149,Boston College,150.0,6025.0
150,WI Milwaukee,151.0,
151,Kennesaw,152.0,6137.0
152,Bryant,153.0,6030.0
153,Seattle,154.0,6267.0
154,UC Santa Barbara,155.0,6312.0
155,La Salle,156.0,6140.0
156,Oakland,157.0,6220.0
157,Miami OH,158.0,
158,East Carolina,159.0,6076.0
159,Wyoming,160.0,6350.0
160,Louisiana Tech,161.0,6151.0
