,PowerRank Rank,Team,Index
0,1,Florida,6087.0
1,2,Duke,6074.0
2,3,Auburn,6017.0
3,4,Houston,6115.0
4,5,Tennessee,6292.0
5,6,Alabama,6004.0
6,7,St. John’s,6284.0
7,8,Michigan State,6172.0
8,9,Gonzaga,6104.0
9,10,Iowa State,6128.0
10,11,Maryland,6162.0
11,12,Wisconsin,6347.0
12,13,Missouri,6178.0
13,14,Texas Tech,6301.0
14,15,Kentucky,6139.0
15,16,Texas A&M,6297.0
16,17,Arizona,6011.0
17,18,Clemson,6049.0
18,19,Kansas,6134.0
19,20,Purdue,6241.0
20,21,Marquette,6160.0
21,22,St. Mary’s,6255.0
22,23,Mississippi,6176.0
23,24,Michigan,6171.0
24,25,Illinois,6120.0
25,26,Connecticut,6057.0
26,27,Oregon,6228.0
27,28,Brigham Young,6034.0
28,29,Louisville,6152.0
29,30,UCLA,6313.0
30,31,Memphis,6166.0
31,32,Creighton,6060.0
32,33,New Mexico,6198.0
33,34,Mississippi State,6177.0
34,35,Baylor,6020.0
35,36,VCU,6328.0
36,37,Georgia,6100.0
37,38,Oklahoma,6223.0
38,39,Arkansas,6014.0
39,40,Xavier,6351.0
40,41,San Diego State,6260.0
41,42,North Carolina,6206.0
42,43,UC San Diego,6354.0
43,44,Ohio State,6222.0
44,45,Texas,6296.0
45,46,Boise State,6024.0
46,47,Vanderbilt,6327.0
47,48,Indiana,6124.0
48,49,Villanova,6330.0
49,50,Colorado State,6055.0
50,51,Utah State,6321.0
51,52,Nebraska,6195.0
52,53,Northwestern,6217.0
53,54,Drake,6072.0
54,55,West Virginia,6339.0
55,56,Penn State,6231.0
56,57,SMU,6271.0
57,58,Liberty,6144.0
58,59,McNeese State,6164.0
59,60,Cincinnati,6048.0
60,61,Kansas State,6136.0
61,62,Dayton,6066.0
62,63,USC,6277.0
63,64,Santa Clara,6263.0
64,65,South Carolina,6273.0
65,66,Pittsburgh,6234.0
66,67,UC Irvine,6310.0
67,68,Yale,6352.0
68,69,Rutgers,6249.0
69,70,North Texas,6210.0
70,71,San Francisco,6261.0
71,72,Iowa,6127.0
72,73,UCF,
73,74,St. Joseph’s,
74,75,Butler,6033.0
75,76,Arizona State,6012.0
76,77,Wake Forest,6335.0
77,78,Georgetown,6099.0
78,79,George Mason,6097.0
79,80,Providence,6240.0
80,81,LSU,6156.0
81,82,Nevada,6196.0
82,83,Arkansas State,6015.0
83,84,Colorado,6054.0
84,85,Minnesota,6175.0
85,86,Utah,6320.0
86,87,TCU,6290.0
87,88,Oregon State,6229.0
88,89,Grand Canyon,6106.0
89,90,UNLV,6317.0
90,91,Bradley,6028.0
