,Seed,Team,Index
0,1,Duke,6074
1,1,Auburn,6017
2,1,Florida,6087
3,1,Houston,6115
4,2,Tennessee,6292
5,2,Alabama,6004
6,2,St. John's,6284
7,2,Michigan State,6172
8,3,Iowa State,6128
9,3,Texas Tech,6301
10,3,Wisconsin,6347
11,3,Kentucky,6139
12,4,Maryland,6162
13,4,Arizona,6011
14,4,Purdue,6241
15,4,Texas A&M,6297
16,5,Clemson,6049
17,5,Oregon,6228
18,5,Memphis,6166
19,5,Michigan,6171
20,6,BYU,6034
21,6,Missouri,6178
22,6,Mississippi,6176
23,6,Illinois,6120
24,7,Kansas,6134
25,7,Saint Mary's,6255
26,7,Marquette,6160
27,7,UCLA,6313
28,8,Connecticut,6057
29,8,Louisville,6152
30,8,Mississippi State,6177
31,8,Gonzaga,6104
32,9,Oklahoma,6223
33,9,Baylor,6020
34,9,Creighton,6060
35,9,Georgia,6100
36,10,Arkansas,6014
37,10,Vanderbilt,6327
38,10,New Mexico,6198
39,10,Utah State,6321
40,11,North Carolina,6206
41,11,Drake,6072
42,11,San Diego State,6260
43,11,VCU,6328
44,11,Texas,6296
45,11,Xavier,6351
46,12,UC San Diego,6354
47,12,Colorado State,6055
48,12,Liberty,6144
49,12,McNeese State,6164
50,13,Yale,6352
51,13,Grand Canyon,6106
52,13,Akron,6003
53,13,High Point,6112
54,14,Lipscomb,6145
55,14,NC Wilmington,6194
56,14,Montana,6181
57,14,Troy,6305
58,15,Bryant,6030
59,15,Omaha,6226
60,15,Robert Morris,6248
61,15,Wofford,6348
62,16,Alabama State,6006
63,16,Saint Francis (PA),6252
64,16,Norfolk State,6204
65,16,American,6009
66,16,Mount St. Mary's,6185
67,16,SIU Edwardsville,6270
