,Team,Vegas_Prob
0,Duke,0.7368000000000001
1,Florida,0.7059000000000001
2,Auburn,0.6774
3,Houston,0.5918
4,Tennessee,0.5
5,Alabama,0.4545
6,Texas Tech,0.4255
7,Michigan St.,0.4167
8,St. Johns,0.3226
9,Iowa St.,0.3125
10,Wisconsin,0.25
11,Maryland,0.21739999999999998
12,Kentucky,0.21739999999999998
13,BYU,0.1905
14,Gonzaga,0.1905
15,Arizona,0.1818
16,Illinois,0.1739
17,Ole Miss,0.16670000000000001
18,Missouri,0.16670000000000001
19,Marquette,0.16670000000000001
20,Saint Marys,0.16670000000000001
21,UCLA,0.15380000000000002
22,Kansas,0.15380000000000002
23,Louisville,0.1429
24,Texas A&M,0.1333
25,Purdue,0.1333
26,Clemson,0.1333
27,UConn,0.10529999999999999
28,New Mexico,0.10529999999999999
29,Creighton,0.10529999999999999
30,VCU,0.1
31,Texas,0.1
32,North Carolina,0.1
33,Mississippi St.,0.1
34,Michigan,0.09519999999999999
35,Georgia,0.0909
36,UC San Diego,0.07690000000000001
37,Oregon,0.07139999999999999
38,Vanderbilt,0.0625
39,Oklahoma,0.0625
40,McNeese,0.0625
41,Drake,0.0625
42,Colorado St.,0.0625
43,Memphis,0.047599999999999996
44,Utah St.,0.0323
45,Liberty,0.0323
46,Xavier,0.0278
47,Bryant,0.0196
48,Yale,0.0196
49,Lipscomb,0.0123
50,Grand Canyon,0.0123
51,Wofford,0.009899999999999999
52,UNC Wilmington,0.009899999999999999
53,Troy,0.009899999999999999
54,Omaha,0.009899999999999999
55,Montana,0.009899999999999999
56,High Point,0.009899999999999999
57,Akron,0.009899999999999999
58,SIU Edwardsville,0.0066
59,Norfolk St.,0.0066
60,Robert Morris,0.0066
61,Mount Saint Marys,0.0066
62,American,0.0066
63,Alabama St.,0.0066
64,,
65,,
66,,
67,,
