,Team,Ensemble_Prob,Vegas_Prob,VEGsemble_Prob
0,Duke,0.7907775868455793,0.7368000000000001,0.7718854314496266
3,Auburn,0.7284110230351188,0.6774,0.7105571649728273
5,Florida,0.7114790897266255,0.7059000000000001,0.7095264083223066
1,Tennessee,0.7547023573563404,0.5,0.6655565322816213
4,Alabama,0.7247348700597197,0.4545,0.6301526655388178
2,Texas Tech,0.73960672140997,0.4255,0.6296693689164805
6,Houston,0.6412781945799163,0.5918,0.6239608264769456
7,Arizona,0.5250883187955183,0.1818,0.40493740721708693
9,Wisconsin,0.3556444816357778,0.25,0.31866891306325557
8,Maryland,0.36547757709127615,0.2173999999999999,0.3136504251093295
11,Iowa State,0.27864366092790926,0.3125,0.29049337960314103
10,Kentucky,0.2922158372563991,0.2173999999999999,0.26603029421665936
17,Michigan State,0.184592236933969,0.4167,0.26582995400707987
12,Purdue,0.2719116274950473,0.1333,0.22339755787178078
13,Clemson,0.26476962587508107,0.1333,0.2187552568188027
15,Gonzaga,0.18697472607547966,0.1905,0.18820857194906176
18,Louisville,0.16834201537321114,0.1429,0.15943730999258723
16,North Carolina,0.1856793539695198,0.1,0.15569158008018785
19,Texas A&M,0.15972877691982323,0.1333,0.1504787049978851
20,UCLA,0.1454678937221967,0.1538,0.14838413091942787
14,Saint Mary's,0.21676984650466857,0.005,0.14265040022803457
22,Missouri,0.12270997011106682,0.1667,0.13810648057219344
21,Michigan,0.14171503208971398,0.0951999999999999,0.12543477085831406
26,Illinois,0.0968898915199401,0.1739,0.12384342948796107
24,Kansas,0.1047754380667674,0.1538,0.12193403474339881
34,BYU,0.06301120576034362,0.1905,0.10763228374422334
23,VCU,0.10844284939688832,0.1,0.1054878521079774
25,Oregon,0.10280166544721626,0.0713999999999999,0.09181108254069054
31,Creighton,0.0837732473787522,0.1052999999999999,0.09130761079618889
44,Marquette,0.048272231651651384,0.1667,0.08972195057357339
33,Georgia,0.0710413831559672,0.0909,0.07799189905137868
27,Xavier,0.0956875505204059,0.0278,0.07192690783826383
41,Texas,0.05321514566148482,0.1,0.06958984467996512
43,Mississippi State,0.0516928921073747,0.1,0.06860037986979356
28,Montana,0.09507613071851617,0.0098999999999999,0.06526448496703548
35,Oklahoma,0.06282078829958014,0.0625,0.06270851239472709
29,St. John's,0.09205634684619082,0.005,0.06158662545002404
37,Drake,0.05854778962326952,0.0625,0.05993106325512519
30,Arkansas,0.08820226826672596,0.005,0.05908147437337188
42,Vanderbilt,0.0530518813556536,0.0625,0.05635872288117484
32,Connecticut,0.08118486407453346,0.005,0.05452016164844675
58,New Mexico,0.020373182413583567,0.1052999999999999,0.05009756856882928
46,Memphis,0.044937597814657615,0.0475999999999999,0.04586943857952741
36,SIU Edwardsville,0.060246682838328285,0.0066,0.04147034384491339
38,Mississippi,0.05818785060676009,0.005,0.039572102894394064
40,High Point,0.054813159423267324,0.0098999999999999,0.03909355362512372
39,Baylor,0.05488594997830518,0.005,0.03742586748589837
63,UC San Diego,0.01538888142333021,0.0769,0.036917772925164634
45,American,0.04555678555,0.0066,0.0319219106075
47,Grand Canyon,0.042017701828853275,0.0123,0.031616506188754626
64,Colorado State,0.01435274817348511,0.0625,0.03120428631276532
48,Lipscomb,0.04012664250290378,0.0123,0.030387317626887456
49,NC Wilmington,0.03994556821524564,0.0098999999999999,0.029429619339909632
52,Utah State,0.02635039186862165,0.0323,0.028432754714604075
55,Liberty,0.02292202404650051,0.0323,0.026204315630225333
50,Omaha,0.03054721447326732,0.005,0.02160568940762376
57,Bryant,0.020926363500000003,0.0196,0.020462136275
51,Norfolk State,0.027404638673267326,0.0066,0.02012301513762376
60,Yale,0.01929481268663366,0.0196,0.019401628246311878
53,Alabama State,0.025364465485444965,0.0066,0.018796902565539227
54,San Diego State,0.023826315706922667,0.005,0.017237105209499733
56,Robert Morris,0.0219501423,0.0066,0.016577592495
61,Akron,0.018815918112702022,0.0098999999999999,0.015695346773256277
62,Troy,0.017887151944885882,0.0098999999999999,0.015091648764175788
59,McNeese State,0.02008294213674862,0.005,0.014803912388886602
65,Wofford,0.01159994787797006,0.0098999999999999,0.011004966120680505
66,Saint Francis (PA),0.00922205486604542,0.005,0.007744335662929523
67,Mount St. Mary's,0.00921313738663366,0.005,0.007738539301311879
