,Team,RF_Prob,predict_E8_RF,KNN_Prob,predict_E8_KNN,XGB_Prob,predict_E8_XGB,NN_Prob,predict_E8_NN,Ensemble_Prob
1,Duke,0.9734362184557936,1,1.0,1,0.8703129,1,0.3886529,0,0.7907775868455793
5,Tennessee,0.9467496235634028,1,1.0,1,0.7797983,1,0.5157925,1,0.7547023573563404
0,Texas Tech,0.9656084640996988,1,1.0,1,0.8736177,1,0.12597185,0,0.73960672140997
3,Auburn,0.9652794503511888,1,1.0,1,0.8425488,1,0.17113179,0,0.7284110230351188
4,Alabama,0.9491810505971968,1,1.0,1,0.8052041,1,0.2821705,0,0.7247348700597197
2,Florida,0.9422314378905504,1,0.5872738187514078,1,0.8653959,1,0.1269246,0,0.7114790897266255
6,Houston,0.9178202007991624,1,1.0,1,0.74403685,1,0.07936111,0,0.6412781945799163
7,Arizona,0.8720802879551829,1,1.0,1,0.5564948,0,0.13079335,0,0.5250883187955183
9,Maryland,0.5701087459127614,0,0.0,0,0.34305945,0,0.4273903,1,0.36547757709127615
8,Wisconsin,0.7184540990797236,1,0.1422200145561077,0,0.38585266,0,0.12941921,0,0.3556444816357778
12,Kentucky,0.4819401525639907,0,0.0,0,0.23952308,0,0.4416591,1,0.2922158372563991
11,Iowa St.,0.5154897992790924,0,0.0,0,0.28694406,0,0.20290521,0,0.27864366092790926
10,Purdue,0.5310946919504732,0,0.0,0,0.30310443,0,0.108921394,0,0.2719116274950473
17,Clemson,0.0957320037508106,0,0.0,0,0.11098207,0,0.9152904,1,0.26476962587508107
24,Saint Mary's,0.1205133800466855,0,0.0,0,0.07625989,0,0.7757479,1,0.21676984650466857
13,Gonzaga,0.2998398157547967,0,0.0,0,0.21945725,0,0.07171766,0,0.18697472607547966
14,North Carolina,0.3770145073510282,0,0.4420028446883388,1,0.1533395,0,0.13103543,0,0.1856793539695198
23,Michigan St.,0.2154721893396899,0,0.0,0,0.077639,0,0.56289834,1,0.184592236933969
21,Louisville,0.1298920137321112,0,0.0,0,0.085313,0,0.49949682,1,0.16834201537321114
29,Texas A&M,0.1424411901982324,0,0.0,0,0.065377966,0,0.5149449,1,0.15972877691982323
15,UCLA,0.2684340172219669,0,0.0,0,0.14619844,0,0.11797753,0,0.1454678937221967
22,Michigan,0.095038157213383,0,0.1649676123675138,0,0.084957615,0,0.34370193,0,0.14171503208971398
18,Missouri,0.0931915551106681,0,0.0,0,0.102706164,0,0.23315904,0,0.12270997011106682
16,VCU,0.2522018540597013,0,0.1399757798183638,0,0.1111431,0,0.0199043,0,0.10844284939688832
20,Kansas,0.2267222416676739,0,0.0,0,0.086263806,0,0.1301587,0,0.1047754380667674
19,Oregon,0.1170605094721624,0,0.0,0,0.09629197,0,0.14252917,0,0.10280166544721626
37,Illinois,0.2313650151994011,0,0.0,0,0.02813624,0,0.27732417,0,0.0968898915199401
27,Xavier,0.1077253752040588,0,0.0,0,0.06895038,0,0.20048633,0,0.0956875505204059
49,Montana,0.0229215061851616,0,0.0,0,0.016308114,0,0.41091853,1,0.09507613071851617
36,St. John's,0.1141018929619083,0,0.0,0,0.029683227,0,0.3067603,0,0.09205634684619082
26,Arkansas,0.1250916926672595,0,0.0,0,0.06998946,0,0.15099975,0,0.08820226826672596
34,Creighton,0.098848733787522,0,0.0,0,0.03240796,0,0.264116,0,0.0837732473787522
25,Connecticut,0.1051854807453345,0,0.0,0,0.0755715,0,0.107724205,0,0.08118486407453346
38,Georgia,0.022114042559672,0,0.0,0,0.027330786,0,0.25532484,0,0.0710413831559672
28,BYU,0.0897513951034361,0,0.0,0,0.066039965,0,0.055550445,0,0.06301120576034362
33,Oklahoma,0.0839460134958013,0,0.0,0,0.034205183,0,0.16096409,0,0.06282078829958014
57,SIU Edwardsville,0.0059839788832829,0,0.0,0,0.011082623,0,0.2622229,0,0.060246682838328285
30,Drake,0.1276373572326952,0,0.0,0,0.06146345,0,0.029164057,0,0.05854778962326952
51,Mississippi,0.0309659260676009,0,0.0,0,0.01452776,0,0.22824107,0,0.05818785060676009
32,Baylor,0.0831009937830518,0,0.0,0,0.047877364,0,0.07727782,0,0.05488594997830518
50,High Point,0.0032673267326732,0,0.0,0,0.015293595,0,0.22272795,0,0.054813159423267324
40,Texas,0.0441148716148481,0,0.0,0,0.02476781,0,0.16352291,0,0.05321514566148482
45,Vanderbilt,0.035793322556536,0,0.0,0,0.020487254,0,0.18077917,0,0.0530518813556536
35,Mississippi St.,0.0577847160737469,0,0.0,0,0.03041597,0,0.1307202,0,0.0516928921073747
31,Marquette,0.0891058940165138,0,0.0,0,0.057754003,0,0.0091077015,0,0.048272231651651384
65,American,0.0,0,0.0,0,0.007328347,0,0.2039668,0,0.04555678555
41,Memphis,0.0242371091465761,0,0.0,0,0.023417626,0,0.13646215,0,0.044937597814657615
56,Grand Canyon,0.0101680822885327,0,0.0,0,0.011656944,0,0.1671194,0,0.042017701828853275
47,Lipscomb,0.0106341360290378,0,0.0,0,0.017746786,0,0.13763909,0,0.04012664250290378
60,UNC Wilmington,0.0061631486524564,0,0.0,0,0.010382879,0,0.16290191,0,0.03994556821524564
64,Nebraska Omaha,0.0032673267326732,0,0.0,0,0.008224612,0,0.12437242,0,0.03054721447326732
55,Norfolk St.,0.0032673267326732,0,0.0,0,0.01185878,0,0.096848495,0,0.027404638673267326
39,Utah St.,0.0489323586862165,0,0.0,0,0.02616564,0,0.02224745,0,0.02635039186862165
61,Alabama St.,0.0281214668544496,0,0.0,0,0.009804024,0,0.080898516,0,0.025364465485444965
42,San Diego St.,0.0427665025692267,0,0.0,0,0.022660121,0,0.024102934,0,0.023826315706922667
44,Liberty,0.0878706019650051,0,0.0,0,0.021002335,0,0.0024172305,0,0.02292202404650051
63,Robert Morris,0.0,0,0.0,0,0.008392822,0,0.08247404,0,0.0219501423
67,Bryant,0.0,0,0.0,0,0.00697239,0,0.08197155,0,0.020926363500000003
43,New Mexico,0.0436829256358357,0,0.0,0,0.021459093,0,0.010282397,0,0.020373182413583567
48,McNeese St.,0.0247141688674862,0,0.0,0,0.017502045,0,0.03117598,0,0.02008294213674862
54,Yale,0.0016336633663366,0,0.0,0,0.011927907,0,0.056891534,0,0.01929481268663366
53,Akron,0.0051131281270202,0,0.0,0,0.012877718,0,0.049670443,0,0.018815918112702022
58,Troy,0.0131511984488588,0,0.0,0,0.010946322,0,0.047284614,0,0.017887151944885882
46,UC San Diego,0.0273264505333021,0,0.0,0,0.018295705,0,0.0038201406,0,0.01538888142333021
52,Colorado St.,0.0123936002348511,0,0.0,0,0.014282135,0,0.019150002,0,0.01435274817348511
59,Wofford,0.0052223882797006,0,0.0,0,0.010944521,0,0.019818852,0,0.01159994787797006
66,Saint Francis,0.0028468986604542,0,0.0,0,0.00730218,0,0.02095474,0,0.00922205486604542
62,Mount St. Mary's,0.0016336633663366,0,0.0,0,0.008453301,0,0.017775627,0,0.00921313738663366
