Team,Elite 8 Probability,Elite 8 Prediction
Clemson,0.9152904,1
Saint Mary's,0.7757479,1
Michigan St.,0.56289834,1
Tennessee,0.5157925,1
Texas A&M,0.5149449,1
Louisville,0.49949682,1
Kentucky,0.4416591,1
Maryland,0.4273903,1
Montana,0.41091853,1
Duke,0.3886529,0
Michigan,0.34370193,0
St. John's,0.3067603,0
Alabama,0.2821705,0
Illinois,0.27732417,0
Creighton,0.264116,0
SIU Edwardsville,0.2622229,0
Georgia,0.25532484,0
Missouri,0.23315904,0
Mississippi,0.22824107,0
High Point,0.22272795,0
American,0.2039668,0
Iowa St.,0.20290521,0
Xavier,0.20048633,0
Vanderbilt,0.18077917,0
Auburn,0.17113179,0
Grand Canyon,0.1671194,0
Texas,0.16352291,0
UNC Wilmington,0.16290191,0
Oklahoma,0.16096409,0
Arkansas,0.15099975,0
Oregon,0.14252917,0
Lipscomb,0.13763909,0
Memphis,0.13646215,0
North Carolina,0.13103543,0
Arizona,0.13079335,0
Mississippi St.,0.1307202,0
Kansas,0.1301587,0
Wisconsin,0.12941921,0
Florida,0.1269246,0
Texas Tech,0.12597185,0
Nebraska Omaha,0.12437242,0
UCLA,0.11797753,0
Purdue,0.108921394,0
Connecticut,0.107724205,0
Norfolk St.,0.096848495,0
Robert Morris,0.08247404,0
Bryant,0.08197155,0
Alabama St.,0.080898516,0
Houston,0.07936111,0
Baylor,0.07727782,0
Gonzaga,0.07171766,0
Yale,0.056891534,0
BYU,0.055550445,0
Akron,0.049670443,0
Troy,0.047284614,0
McNeese St.,0.03117598,0
Drake,0.029164057,0
San Diego St.,0.024102934,0
Utah St.,0.02224745,0
Saint Francis,0.02095474,0
VCU,0.0199043,0
Wofford,0.019818852,0
Colorado St.,0.019150002,0
Mount St. Mary's,0.017775627,0
New Mexico,0.010282397,0
Marquette,0.0091077015,0
UC San Diego,0.0038201406,0
Liberty,0.0024172305,0
