,Team,RF_Prob,predict_E8_RF,KNN_Prob,predict_E8_KNN,XGB_Prob,predict_E8_XGB
6,Texas Tech,0.9656084640996988,1,1.0,1,0.8736177,1
1,Duke,0.9734362184557935,1,1.0,1,0.8703129,1
3,Florida,0.9422314378905505,1,0.5872738187514078,1,0.8653959,1
2,Auburn,0.9652794503511888,1,1.0,1,0.8425488,1
4,Alabama,0.9491810505971968,1,1.0,1,0.8052041,1
5,Tennessee,0.9467496235634029,1,1.0,1,0.7797983,1
0,Houston,0.9178202007991623,1,1.0,1,0.74403685,1
8,Arizona,0.8720802879551829,1,1.0,1,0.5564948,0
11,Wisconsin,0.7184540990797236,1,0.14222001455610778,0,0.38585266,0
9,Maryland,0.5701087459127614,0,0.0,0,0.34305945,0
17,Purdue,0.5310946919504732,0,0.0,0,0.30310443,0
7,Iowa St.,0.5154897992790924,0,0.0,0,0.28694406,0
16,Kentucky,0.4819401525639907,0,0.0,0,0.23952308,0
10,Gonzaga,0.29983981575479673,0,0.0,0,0.21945725,0
34,North Carolina,0.37701450735102826,0,0.44200284468833884,1,0.1533395,0
24,UCLA,0.2684340172219669,0,0.0,0,0.14619844,0
28,VCU,0.2522018540597013,0,0.1399757798183638,0,0.1111431,0
20,Clemson,0.09573200375081062,0,0.0,0,0.11098207,0
15,Missouri,0.09319155511066819,0,0.0,0,0.102706164,0
37,Oregon,0.11706050947216248,0,0.0,0,0.09629197,0
19,Kansas,0.22672224166767393,0,0.0,0,0.086263806,0
18,Louisville,0.12989201373211126,0,0.0,0,0.085313,0
25,Michigan,0.09503815721338302,0,0.1649676123675138,0,0.084957615,0
12,Michigan St.,0.21547218933968992,0,0.0,0,0.077639,0
23,Saint Mary's,0.12051338004668555,0,0.0,0,0.07625989,0
33,Connecticut,0.10518548074533456,0,0.0,0,0.0755715,0
40,Arkansas,0.12509169266725953,0,0.0,0,0.06998946,0
35,Xavier,0.10772537520405884,0,0.0,0,0.06895038,0
13,BYU,0.08975139510343613,0,0.0,0,0.066039965,0
21,Texas A&M,0.14244119019823243,0,0.0,0,0.065377966,0
47,Drake,0.12763735723269526,0,0.0,0,0.06146345,0
30,Marquette,0.08910589401651381,0,0.0,0,0.057754003,0
26,Baylor,0.0831009937830518,0,0.0,0,0.047877364,0
42,Oklahoma,0.08394601349580133,0,0.0,0,0.034205183,0
32,Creighton,0.09884873378752207,0,0.0,0,0.03240796,0
31,Mississippi St.,0.05778471607374692,0,0.0,0,0.03041597,0
14,St. John's,0.11410189296190833,0,0.0,0,0.029683227,0
22,Illinois,0.2313650151994011,0,0.0,0,0.02813624,0
29,Georgia,0.022114042559672052,0,0.0,0,0.027330786,0
43,Utah St.,0.048932358686216586,0,0.0,0,0.02616564,0
44,Texas,0.04411487161484813,0,0.0,0,0.02476781,0
48,Memphis,0.024237109146576147,0,0.0,0,0.023417626,0
45,San Diego St.,0.04276650256922673,0,0.0,0,0.022660121,0
38,New Mexico,0.0436829256358357,0,0.0,0,0.021459093,0
46,Liberty,0.08787060196500512,0,0.0,0,0.021002335,0
39,Vanderbilt,0.03579332255653607,0,0.0,0,0.020487254,0
41,UC San Diego,0.027326450533302113,0,0.0,0,0.018295705,0
54,Lipscomb,0.010634136029037853,0,0.0,0,0.017746786,0
49,McNeese St.,0.02471416886748628,0,0.0,0,0.017502045,0
58,Montana,0.022921506185161634,0,0.0,0,0.016308114,0
52,High Point,0.0032673267326732668,0,0.0,0,0.015293595,0
27,Mississippi,0.03096592606760091,0,0.0,0,0.01452776,0
36,Colorado St.,0.012393600234851178,0,0.0,0,0.014282135,0
53,Akron,0.005113128127020278,0,0.0,0,0.012877718,0
50,Yale,0.0016336633663366338,0,0.0,0,0.011927907,0
62,Norfolk St.,0.0032673267326732668,0,0.0,0,0.01185878,0
51,Grand Canyon,0.01016808228853272,0,0.0,0,0.011656944,0
63,SIU Edwardsville,0.005983978883282941,0,0.0,0,0.011082623,0
55,Troy,0.01315119844885884,0,0.0,0,0.010946322,0
59,Wofford,0.005222388279700698,0,0.0,0,0.010944521,0
56,UNC Wilmington,0.006163148652456434,0,0.0,0,0.010382879,0
66,Alabama St.,0.028121466854449696,0,0.0,0,0.009804024,0
65,Mount St. Mary's,0.0016336633663366338,0,0.0,0,0.008453301,0
60,Robert Morris,0.0,0,0.0,0,0.008392822,0
57,Nebraska Omaha,0.0032673267326732668,0,0.0,0,0.008224612,0
64,American,0.0,0,0.0,0,0.007328347,0
67,Saint Francis,0.0028468986604542807,0,0.0,0,0.00730218,0
61,Bryant,0.0,0,0.0,0,0.00697239,0
