,Seed,Team,VEGsemble_Prob Rank,VEGsemble_Prob,VEGsemble Q,Golden Ratio,VEGsemble,Avg,smoothPtsT,AdjAvg,histAdjAvg,Floor,Ceiling
0,1,Duke,1.0,0.7718854314496266,Q1,20,30,26.0,-4.194318181818181,21.805681818181817,21.697658200557882,21.697658200557882,43.395316401115764
1,1,Auburn,2.0,0.7105571649728273,Q1,20,20,20.0,-4.194318181818181,15.805681818181819,15.72738172450673,15.72738172450673,31.45476344901346
2,1,Florida,3.0,0.7095264083223066,Q1,30,42,37.2,-4.194318181818181,33.00568181818182,32.84217428918671,32.84217428918671,65.68434857837342
3,1,Houston,7.0,0.6239608264769456,Q1,42,6,20.4,-4.194318181818181,16.205681818181816,16.12540015624347,16.12540015624347,32.25080031248694
4,2,Tennessee,4.0,0.6655565322816213,Q1,12,6,8.4,-5.402500000000001,2.9974999999999996,2.9826506228272227,2.9826506228272227,5.965301245654445
5,2,Alabama,5.0,0.6301526655388178,Q1,12,12,12.0,-5.402500000000001,6.597499999999999,6.564816508457916,6.564816508457916,13.129633016915832
6,2,St. John's,37.0,0.061586625450024,Q5,6,2,3.6000000000000005,-5.402500000000001,-1.8025000000000002,-1.7935705580137016,-1.7935705580137016,-3.587141116027403
7,2,Michigan State,13.0,0.2658299540070798,Q2,12,12,12.0,-5.402500000000001,6.597499999999999,6.564816508457916,6.564816508457916,13.129633016915832
8,3,Iowa State,11.0,0.290493379603141,Q2,6,2,3.6000000000000005,-0.5047727272727268,3.0952272727272736,3.0798937623992693,3.0798937623992693,6.1597875247985385
9,3,Texas Tech,6.0,0.6296693689164805,Q1,13,12,12.399999999999999,-0.5047727272727268,11.895227272727272,11.83629926060763,11.83629926060763,23.67259852121526
10,3,Wisconsin,9.0,0.3186689130632555,Q1,6,2,3.6000000000000005,-0.5047727272727268,3.0952272727272736,3.0798937623992693,3.0798937623992693,6.1597875247985385
11,3,Kentucky,12.0,0.2660302942166593,Q2,2,13,8.6,-0.5047727272727268,8.095227272727273,8.055124159108566,8.055124159108566,16.11024831821713
12,4,Maryland,10.0,0.3136504251093295,Q2,6,2,3.6000000000000005,-0.2140909090909094,3.385909090909091,3.36913556591705,3.36913556591705,6.7382711318341
13,4,Arizona,8.0,0.4049374072170869,Q1,6,6,6.0,-0.2140909090909094,5.78590909090909,5.757246156337511,5.757246156337511,11.514492312675022
14,4,Purdue,14.0,0.2233975578717807,Q2,2,24,15.2,-0.2140909090909094,14.98590909090909,14.911670086282616,14.911670086282616,29.82334017256523
15,4,Texas A&M,19.0,0.1504787049978851,Q3,6,6,6.0,-0.2140909090909094,5.78590909090909,5.757246156337511,5.757246156337511,11.514492312675022
16,5,Clemson,15.0,0.2187552568188027,Q2,7,2,4.0,0.6320454545454546,4.632045454545454,4.609098668878735,4.609098668878735,9.21819733775747
17,5,Oregon,28.0,0.0918110825406905,Q4,2,0,0.8,0.6320454545454546,1.4320454545454546,1.4249512149847854,1.4249512149847854,2.8499024299695708
