,Seed,Team,Index,PowerRank Rank,KenPom Rank,LRMC B Rank,BPI Rank,LRMC C Rank,Golden Ratio
0,13,Akron,6003,98,99.0,90.0,112.0,112.0,100.7549
1,2,Alabama,6004,6,6.0,7.0,6.0,10.0,6.184
2,16,Alabama State,6006,267,273.0,231.0,275.0,282.0,269.7734
3,16,American,6009,239,237.0,234.0,227.0,249.0,236.57019999999997
4,4,Arizona,6011,17,14.0,14.0,9.0,11.0,14.2821
5,10,Arkansas,6014,39,40.0,41.0,42.0,38.0,39.883500000000005
6,1,Auburn,6017,3,4.0,3.0,3.0,4.0,3.4232999999999993
7,6,BYU,6034,28,24.0,21.0,24.0,21.0,25.3252
8,9,Baylor,6020,35,29.0,34.0,19.0,29.0,29.969
9,15,Bryant,6030,157,149.0,127.0,131.0,153.0,148.66840000000002
10,5,Clemson,6049,18,18.0,18.0,15.0,20.0,17.613400000000002
11,12,Colorado State,6055,50,42.0,44.0,53.0,46.0,47.0002
12,8,Connecticut,6057,26,35.0,28.0,16.0,28.0,28.0917
13,9,Creighton,6060,32,37.0,36.0,26.0,26.0,32.9385
14,11,Drake,6072,54,58.0,62.0,73.0,92.0,60.153400000000005
15,1,Duke,6074,2,1.0,1.0,1.0,1.0,1.3864999999999998
16,1,Florida,6087,1,2.0,2.0,4.0,3.0,1.9570999999999998
17,9,Georgia,6100,37,34.0,40.0,38.0,37.0,36.1043
18,8,Gonzaga,6104,9,9.0,5.0,10.0,7.0,8.932599999999999
19,13,Grand Canyon,6106,89,93.0,85.0,87.0,99.0,90.45999999999998
20,13,High Point,6112,92,84.0,80.0,81.0,111.0,87.4782
21,1,Houston,6115,4,3.0,4.0,2.0,2.0,3.2330999999999994
22,6,Illinois,6120,25,20.0,22.0,23.0,23.0,22.576699999999995
23,3,Iowa State,6128,10,10.0,8.0,7.0,5.0,9.2822
24,7,Kansas,6134,19,21.0,17.0,14.0,15.0,18.7852
25,3,Kentucky,6139,15,16.0,15.0,17.0,24.0,16.0245
26,12,Liberty,6144,58,62.0,55.0,85.0,96.0,64.9758
27,14,Lipscomb,6145,99,83.0,82.0,106.0,107.0,93.55860000000001
28,8,Louisville,6152,29,23.0,25.0,28.0,16.0,25.902
29,7,Marquette,6160,21,28.0,19.0,20.0,18.0,23.368100000000005
30,4,Maryland,6162,11,12.0,11.0,13.0,13.0,11.766900000000001
31,12,McNeese State,6164,59,59.0,58.0,66.0,88.0,61.1042
32,5,Memphis,6166,31,51.0,37.0,46.0,43.0,41.693400000000004
33,5,Michigan,6171,24,25.0,26.0,29.0,22.0,25.153499999999998
34,2,Michigan State,6172,8,8.0,13.0,11.0,12.0,8.7914
35,6,Mississippi,6176,23,26.0,27.0,32.0,33.0,26.0553
36,8,Mississippi State,6177,34,32.0,35.0,35.0,35.0,33.45399999999999
37,6,Missouri,6178,13,15.0,16.0,31.0,17.0,16.7918
38,14,Montana,6181,168,157.0,153.0,173.0,187.0,164.6627
39,16,Mount St. Mary's,6185,238,250.0,225.0,239.0,242.0,242.46020000000001
40,10,New Mexico,6198,33,41.0,31.0,49.0,41.0,38.767199999999995
41,16,Norfolk State,6204,162,180.0,137.0,171.0,202.0,170.8896
42,11,North Carolina,6206,42,33.0,33.0,25.0,27.0,35.030499999999996
43,9,Oklahoma,6223,38,38.0,46.0,43.0,54.0,39.650200000000005
44,15,Omaha,6226,149,156.0,136.0,211.0,163.0,161.25310000000002
45,5,Oregon,6228,27,31.0,38.0,36.0,40.0,30.809800000000003
46,4,Purdue,6241,20,19.0,20.0,21.0,19.0,19.730100000000004
47,15,Robert Morris,6248,163,139.0,133.0,168.0,140.0,152.54059999999998
48,16,SIU Edwardsville,6270,220,217.0,207.0,240.0,245.0,222.35010000000003
49,16,Saint Francis (PA),6252,327,311.0,310.0,307.0,327.0,317.1224
50,16,Saint Francis (PA),6252,327,311.0,310.0,307.0,327.0,317.1224
51,7,Saint Mary's,6255,22,22.0,24.0,30.0,25.0,23.4112
52,11,San Diego State,6260,41,46.0,48.0,54.0,62.0,45.9571
53,2,St. John's,6284,7,11.0,9.0,12.0,6.0,9.349800000000002
54,2,Tennessee,6292,5,5.0,6.0,5.0,9.0,5.184
55,11,Texas,6296,45,44.0,45.0,33.0,50.0,42.9567
56,4,Texas A&M,6297,16,17.0,23.0,22.0,31.0,18.1165
57,12,UC San Diego,6354,43,160.0,32.0,57.0,64.0,90.73610000000001
58,3,Texas Tech,6301,14,7.0,10.0,8.0,8.0,10.0061
59,14,Troy,6305,100,98.0,97.0,109.0,120.0,101.2332
60,12,UC San Diego,6354,43,36.0,32.0,57.0,64.0,42.810100000000006
61,7,UCLA,6313,30,27.0,30.0,27.0,30.0,28.380300000000002
62,14,NC Wilmington,6194,104,105.0,99.0,111.0,121.0,105.9019
63,10,Utah State,6321,51,52.0,47.0,44.0,63.0,50.607099999999996
64,11,VCU,6328,36,30.0,29.0,34.0,34.0,33.043
65,10,Vanderbilt,6327,47,49.0,54.0,56.0,56.0,49.7424
66,3,Wisconsin,6347,12,13.0,12.0,18.0,14.0,13.3805
67,15,Wofford,6348,135,120.0,123.0,139.0,162.0,130.3681
68,11,Xavier,6351,40,43.0,39.0,39.0,32.0,40.6749
69,13,Yale,6352,68,73.0,67.0,68.0,109.0,71.4045
